P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,kp_roll,ki_roll,kp_pitch,ki_pitch,kp_yaw,ki_yaw,Sig_RA,Sig_Dec,Sig_FR,P2P_RA,P2P_DEC,P2P_FR
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,365.2468690006866,666.1596971724052,262.9172837977311,8593.385367750427,260.33915818030624,8086.231548692613,20.990036852587863,1.9182922184159796,18.65186358233516,77.3827175535598,7.928089894138866,69.70207514800265
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,355.19915022561713,658.0291944449152,263.02866924158405,8478.377481811149,264.0186624275634,8413.748649603156,21.057246827845542,1.9324165599771352,18.730724991740345,78.9168899639171,7.97121628440985,71.39255247868294
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,374.7116357978082,688.3066372695891,264.2938442452828,8431.60742141453,263.5759543220895,7504.098273333289,20.975938843527505,1.9048208209033697,18.614929108897172,77.45882176511257,8.121668365795694,69.5135858496975
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,372.8551776460721,686.2753810463362,251.7132428112874,8470.266767049212,265.67881267645294,8418.465357760055,21.01565374862644,1.922861692845502,18.684320783375657,78.81426090658503,7.911696938305881,71.17576198647515
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,367.9745968806541,677.587363780103,267.75084156701934,8437.065148552425,263.08482662590364,7559.477450551123,20.982714317221532,1.9073762184471923,18.624511880803343,77.77870222339612,8.149440277497579,69.81756144764095
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,374.86528789755596,698.616264101189,263.50385275558233,8250.772601952944,268.47504192039975,7429.797257835095,20.986331495819456,1.901526201825479,18.62206390969908,77.639105755908,8.132766799317782,69.58252194222595
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,367.46362600335146,701.8714908558677,271.68919924342026,8381.425090005832,262.2440507352504,7402.1214910095405,20.98379078727324,1.903270834372332,18.618383788278507,77.31403884765308,8.12000975529532,69.35550644302238
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,370.0815191513974,700.1713613789257,264.10173601302245,8244.304109967392,257.6625828123715,7522.251665653328,20.97891353252129,1.9010763444651526,18.617966869503086,77.34811715978347,8.081970627175103,69.47277185234269
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,363.4261684207602,682.6907469875996,267.1037620387268,8496.8794592456,254.8652808600778,7840.865136350238,20.969578631642534,1.9087994206278447,18.6214070273405,77.05847525261694,7.992662289083867,69.43854001628898
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,368.8007166176973,705.4207750445178,262.6410800511923,8330.525016210508,257.51564756596537,7804.980838900579,20.95855792276145,1.9016308255363192,18.606876364439227,77.07729739331006,7.964584787625113,69.37519157835742
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,369.2137764862189,719.3374806767251,260.0861992932788,8277.254950039547,254.73105803599617,7927.732533075308,20.952019092684015,1.8998965628753974,18.60321732141839,76.61480608073569,7.8617064629404005,69.00725480385547
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,357.90046215799373,712.1157804808713,268.7101790940301,8531.2801834932,255.83479086653745,7385.839050743532,20.98165350022641,1.9048842639235661,18.614840112339373,77.30234899323129,8.126330518201168,69.34366733982385
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,363.7086974996794,696.6626917603317,257.3108298506023,8446.353014778673,253.71134717804705,7944.187641945278,20.96068217170618,1.906531955078443,18.614620987347262,76.94098448638802,7.91514028526244,69.3159085608456
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,375.2079397922655,681.2673725618149,256.49006691884995,8268.188865053133,259.41279248392993,8146.586279278532,20.988465934216933,1.9112409074911352,18.650589220857736,77.14752982835735,7.834916165657814,69.58030290102717
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,362.2273315665617,704.4036785011072,265.6551510502351,8465.507353883182,256.7292912708856,7576.025857877283,20.965618289211466,1.9035501439825864,18.606328219006087,76.84660582542467,8.044512063721482,69.05009384267451
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,360.4088202705832,694.6225640378211,261.6163150122618,8628.899353217535,257.2739033576005,8028.098395110057,20.96007465923976,1.9111244010160273,18.616982294552713,76.79513802819339,7.8838164269000295,69.17274364108734
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,351.01109844843074,708.5925970699013,260.53169703566107,8507.360019038068,249.2598481930528,8220.918494689018,20.971761507482636,1.9123725895060733,18.63360865730177,76.6943090373434,7.779300849734737,69.16901145567779
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,368.7865014604638,693.3781272196672,263.3533074428774,8450.545570820414,259.99692778983035,7683.303328672222,20.962156936784414,1.904420539184736,18.607439963616542,76.94451747563735,8.024775289207076,69.2030363135278
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,364.08334350537996,717.7709474292469,256.4716277102673,8426.643351731935,259.68107063164865,7831.63102911273,20.94929019361049,1.901580282312301,18.597514488693523,76.93304052366463,7.939196338681677,69.21749669750537
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,364.4119310476899,735.3110476500706,251.15556054603758,8391.525297975102,262.0889655174341,7827.013975493977,20.943730835898418,1.898810689724119,18.59032518798102,76.80238011296157,7.917192887776628,69.07791545683277
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,371.402277615485,721.5913222270206,257.0214211340376,8384.686990044898,253.64730420711135,7803.979837682617,20.947035390668603,1.8996017253926298,18.593804251311887,76.46044533145788,7.90712075063393,68.84652776397981
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,372.8413516214498,728.9388853071528,256.577841426761,8176.391705963071,256.36106130883434,7559.315996472173,20.969373146169556,1.8964780639140397,18.607640036036482,76.96255770721888,7.999397779188709,69.11364468240203
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,369.73321878373315,720.3598049898198,257.8374598231362,8289.518617776688,256.5892718210259,7676.511596131644,20.958529846799255,1.898682584645311,18.601340073700356,76.90479709932121,7.979560065483428,69.13282368236788
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,371.5496481537049,734.7977953278053,261.05886991259854,8306.659912067935,260.88292570271415,7554.001401032407,20.963206618329455,1.8975299319422507,18.600791110112798,76.87717619696069,8.000731902839656,69.00404348739866
